timestamp,open,high,low,close,volume,datetime
1670518800000,16937,16964.5,16920.5,16953.5,4332.999,2022-12-08 17:00:00+00:00
1670522400000,16953.5,17268.5,16947,17230,26743.866,2022-12-08 18:00:00+00:00
1670526000000,17230,17280.5,17176,17238.5,8301.47,2022-12-08 19:00:00+00:00
1670529600000,17238.5,17286,17142,17180,7292.173,2022-12-08 20:00:00+00:00
1670533200000,17180,17187.5,17155.5,17166,2561.02,2022-12-08 21:00:00+00:00
1670536800000,17166,17240,17166,17184,3992.065,2022-12-08 22:00:00+00:00
1670540400000,17184,17250,17184,17209.5,3508.59,2022-12-08 23:00:00+00:00
1670544000000,17209.5,17237,17169,17183.5,3396.6,2022-12-09 00:00:00+00:00
1670547600000,17183.5,17280,17181.5,17216,4951.832,2022-12-09 01:00:00+00:00
1670551200000,17216,17234.5,17195.5,17207.5,1521.671,2022-12-09 02:00:00+00:00
1670554800000,17207.5,17218.5,17185.5,17189.5,1378.973,2022-12-09 03:00:00+00:00
1670558400000,17189.5,17214,17183,17214,1058.456,2022-12-09 04:00:00+00:00
1670562000000,17214,17214,17193.5,17205,798.497,2022-12-09 05:00:00+00:00
1670565600000,17205,17207.5,17185,17207.5,980.214,2022-12-09 06:00:00+00:00
1670569200000,17207.5,17225.5,17205,17205,1319.071,2022-12-09 07:00:00+00:00
1670572800000,17205,17205.5,17192,17192.5,1263.566,2022-12-09 08:00:00+00:00
1670576400000,17192.5,17247,17192,17228.5,2043.221,2022-12-09 09:00:00+00:00
1670580000000,17228.5,17257.5,17197.5,17204.5,2572.367,2022-12-09 10:00:00+00:00
1670583600000,17204.5,17246.5,17204.5,17232,1652.903,2022-12-09 11:00:00+00:00
1670587200000,17232,17348,17164.5,17243,12248.148,2022-12-09 12:00:00+00:00
1670590800000,17243,17259.5,17055,17144,17519.986,2022-12-09 13:00:00+00:00
1670594400000,17144,17163.5,17075,17142,5325.167,2022-12-09 14:00:00+00:00
1670598000000,17142,17189.5,17127.5,17168.5,3806.851,2022-12-09 15:00:00+00:00
1670601600000,17168.5,17177.5,17135.5,17143.5,2038.195,2022-12-09 16:00:00+00:00
1670605200000,17143.5,17158,17137.5,17154,1095.661,2022-12-09 17:00:00+00:00
1670608800000,17154,17154,17111,17136.5,2028.137,2022-12-09 18:00:00+00:00
1670612400000,17136.5,17150,17109,17135,1900.537,2022-12-09 19:00:00+00:00
1670616000000,17135,17142,17092,17095.5,1976.738,2022-12-09 20:00:00+00:00
1670619600000,17095.5,17113,17045,17105.5,3520.5,2022-12-09 21:00:00+00:00
1670623200000,17105.5,17123.5,17103,17120.5,1380.584,2022-12-09 22:00:00+00:00
1670626800000,17120.5,17147,17110,17116,1346.843,2022-12-09 23:00:00+00:00
1670630400000,17116,17157.5,17114,17148,1636.785,2022-12-10 00:00:00+00:00
1670634000000,17148,17155,17142,17142.5,733.14,2022-12-10 01:00:00+00:00
1670637600000,17142.5,17148,17111,17134.5,1025.661,2022-12-10 02:00:00+00:00
1670641200000,17134.5,17147,17129.5,17136,551.538,2022-12-10 03:00:00+00:00
